,Activity Date,Distance,Moving Time,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Average Cadence,Average Heart Rate,Average Watts,Weighted Average Power,Wind Speed,Average Speed,Total Weight
691,2019-09-22 19:12:40,37.36,4676.0,37.43999862670898,266.0,273.0,803.5999755859375,841.7999877929688,85.4836196899414,131.0,151.82656860351562,152.0,,28.763045337895637,74.5
695,2019-09-28 11:32:02,40.5,5179.0,57.960001373291014,324.0,336.0,780.2000122070312,936.4000244140624,82.65541076660156,146.0,160.240966796875,187.0,,28.15215292527515,74.5
696,2019-09-29 20:12:46,42.17,5092.0,39.96000137329102,297.0,301.0,806.2000122070312,840.2000122070312,85.4451675415039,141.0,151.46444702148438,152.0,,29.81382560879812,74.5
701,2019-10-05 11:49:48,115.81,14894.0,64.8,1027.0,1024.0,623.2000122070312,861.7999877929688,82.21524810791016,146.0,142.47006225585938,153.0,,27.99221162884383,74.5
703,2019-10-08 13:27:06,35.92,4521.0,59.76000137329102,313.0,261.0,839.0,897.0,82.39613342285156,138.0,162.90975952148438,186.0,,28.602521566025217,74.5
707,2019-10-12 12:40:30,93.48,11391.0,56.5199993133545,645.0,626.0,748.7999877929688,873.2000122070312,84.72593688964844,145.0,149.2108612060547,154.0,,29.54332367658678,74.5
709,2019-10-13 12:05:26,13.55,1952.0,52.56000137329102,131.0,127.0,841.7999877929688,867.5999755859375,78.25273895263672,123.0,113.19723510742188,116.0,,24.989754098360656,74.5
714,2019-10-19 13:01:33,90.37,10919.0,60.83999862670898,889.0,879.0,717.2000122070312,879.7999877929688,83.90689849853516,140.0,148.3834991455078,160.0,,29.79503617547395,74.5
719,2019-10-26 13:22:53,31.35,3618.0,56.5199993133545,287.0,294.0,793.0,890.7999877929688,85.63248443603516,151.0,169.31121826171875,176.0,,31.19402985074627,74.5
725,2019-11-02 11:23:17,100.12,12668.0,68.4,920.0,880.0,648.5999755859375,865.5999755859375,82.8429183959961,144.0,146.62789916992188,158.0,,28.452162930217877,74.5
730,2019-11-09 17:23:26,62.35,7273.0,57.23999862670898,352.0,325.0,776.4000244140625,839.2000122070312,86.71859741210938,152.0,173.07452392578125,182.0,,30.862092671524817,74.5
